id,text,archetype,category_role,category_group,datetime,discovered_topic
1770139806.632619,"Reminder: @S095YD2KQ4S descargar [nómina de cargos](http://admin.prd.fin/charge_batches), subirla al [banco](https://login.portalempresas.bancochile.cl/bancochile-web/empresa/login/index.html#/login) y cambiar el estado del batch a waiting_paysheet_result ([paso a paso)](https://www.notion.so/fintoc/Subir-n-mina-de-cargos-9b9f67db366c4b649af85b3cb595c43a?source=copy_link)",Reminder (Automático),bot,Bots,2026-02-03 17:30:06.632,0
1770130823.779029,Reminder: @S095YD2KQ4S mover plata de Banco Estado al Security ([paso a paso](https://www.notion.so/fintoc/Subir-n-minas-Banco-Estado-Banco-Security-12e0ff41a1e9807f8dc1f11009203836)),Reminder (Automático),bot,Bots,2026-02-03 15:00:23.779,2
1770127345.738139,"@S095YD2KQ4S me ayudas con la actualización del estado de este [pago](http://admin.prd.fin/payments/118102120) plisss, se completó ayer antes de las 14:00hrs pero después de las 1300hrs, entonces, no se alcanzó a actualizar el estado del pago con la conciliación de hoy, pero si está dentro del archivo que nos envió el banco. :dorime:",Sin Clasificar,support,Soporte,2026-02-03 14:02:25.738,0
1770122921.095049,"@S095YD2KQ4S Me ayudan a cancelar este [reembolso](http://admin.prd.fin/refunds/ref_jEDpJ47HpEgdnr5V) (shopify) plisss, el merchant lo creó por error :dorime:",Tareas Operacionales Generales,support,Soporte,2026-02-03 12:48:41.095,0
1770122722.578089,"Reminder: @S095YD2KQ4S sube el [universo](https://portalempresas.bancochile.cl/mibancochile-web/front/empresa/index.html#/portal/recaudacion-pac/universo) a [upload_contracts](http://admin.prd.fin/contracts/upload_contracts_snapshot_form), después la [rendición](https://portalempresas.bancochile.cl/mibancochile-web/front/empresa/index.html#/portal/recaudacion-pac/nominasProcesadas) a [charge_batches](http://admin.prd.fin/charge_batches) y descarga los paysheets del [payout batch](http://admin.prd.fin/payout_batches?q%5Bproduct_id_eq%5D=8&amp;commit=Filtrar&amp;subdomain=admin&amp;order=id_desc) en :banco-chile: ([paso a paso](https://www.notion.so/fintoc/Actualizaci-n-de-Universo-de-Contratos-9bd924a99fd24fb08cb4d1cd7abe3d30?source=copy_link))",Reminder (Automático),bot,Bots,2026-02-03 12:45:22.578,10
1770121827.953289,Reminder: @S08KGHVFHUN Hacer cierre contable de cuentas recaudadoras. [Acá](https://www.notion.so/fintoc/Cierres-contables-v-a-Ledger-2880ff41a1e98032876af54dac9a307f?source=copy_link) la guía.,Reminder (Automático),bot,Bots,2026-02-03 12:30:27.953,0
1770121827.572239,Reminder: @S095YD2KQ4S Revisar [acá](http://admin.prd.fin/batch_paysheets?subdomain=admin&amp;order=id_desc&amp;q%5Bstatus_eq%5D=7&amp;q%5Bcreated_at_gteq%5D=2025-07-01&amp;commit=Filtrar) si hay paysheets pegadas en estado `stuck`. En [este](https://www.notion.so/fintoc/Flujo-para-destrabar-Paysheets-2450ff41a1e98090b777ee3efb4469d2?source=copy_link) manual se explica cómo procesar esas nóminas.,Reminder (Automático),bot,Bots,2026-02-03 12:30:27.572,0
1770121811.398819,Reminder: @S095YD2KQ4S hacer proceso de [nómina Unired](https://www.notion.so/fintoc/Subir-n-mina-Unired-30a1189fbcb34c2b9d988d3c5347e998),Reminder (Automático),bot,Bots,2026-02-03 12:30:11.398,9
1770121805.717999,Reminder: @S095YD2KQ4S hacer proceso de [refresh de cuentas BICE](https://www.notion.so/fintoc/Refresh-cuentas-BICE-1e40ff41a1e9809c9323cbb614036b37),Reminder (Automático),bot,Bots,2026-02-03 12:30:05.717,8
1770120028.855109,"@tank-ops-chile Hay orgs con Cards activo sin el documento `card_payout_details`:

• Mariscos de La Concha

Crea el documento en [este formulario](http://admin.prd.fin/documents/new), basándote en [este documento](http://admin.prd.fin/documents/3363/edit) existente.",RoboCops (Bot),unknown,Otros,2026-02-03 12:00:28.855,-1
1770120000.968829,:pepe-alarm: Refund [ref_375bz6wHd47rnvap](http://admin.prd.fin/refunds/155313)'s refund adjustment is stuck!,Tareas Operacionales Generales,unknown,Otros,2026-02-03 12:00:00.968,0
1770070815.472509,:pepe-alarm: Refund [ref_eyx0neYHjPWen2mv](http://admin.prd.fin/refunds/157170) has failed disbursal and needs retry,Reintentos Refund Disbursal,unknown,Otros,2026-02-02 22:20:15.472,12
1770068459.876319,"lo del viernes si, ahora hay otros documentos fallando pero por otras razones que sigo investigando",Tareas Operacionales Generales,unknown,Otros,2026-02-02 21:40:59.876,-1
1770068014.508759,se arregló lo de los docs? @S095YD2KQ4S,Tareas Operacionales Generales,unknown,Otros,2026-02-02 21:33:34.508,0
1770066340.633079,:friendly-reminder: @mateo los 4 contracargos (uno fue levantado el viernes los otros 3 hoy) deben quedar listos hoy si o si plisssss :dorime: Gracias!,Reminder (Automático),support,Soporte,2026-02-02 21:05:40.633,14
1770066028.241959,Reminder: @S095YD2KQ4S Revisar [este](https://fintoc.retool.com/apps/96f7bd9e-76c0-11f0-804e-87bc9964caf6/Ops%20Collection/Ops%20Collection%20Tools/page1) dashboard (pestaña Daily Tasks) antes de cerrar el día.,Reminder (Automático),bot,Bots,2026-02-02 21:00:28.241,4
1770064219.832669,Reminder: @S095YD2KQ4S hacer pago de payouts a merchants y refunds ([paso a paso](https://www.notion.so/Dispersi-n-de-payouts-a-merchants-12e0ff41a1e98011ae70f1eb7033ae25?pvs=24#12e0ff41a1e980e792fbde1905fac6fc)),Reminder (Automático),bot,Bots,2026-02-02 20:30:19.832,0
1770058691.189669,"@mateo me ayudas ingresando la Información en Kushki del contracargo:
• [http://admin.prd.fin/chargebacks/20](http://admin.prd.fin/chargebacks/20)
    ◦ Fecha del pago: 27/12/2025
    ◦ Monto: $16.950
    ◦ ID del pago en Fintoc: pi_37Rq6G3elXCAvvW1aVNqK98NUWU
    ◦ Ticket número: 68198461
:thread: iré dejando la información que nos mandó el merchant en el hilo por item para ir adjuntando la información por separado",Gestión de Contracargos,support,Soporte,2026-02-02 18:58:11.189,6
1770058561.780999,:gta-here-we-go-again:,Sin Clasificar,unknown,Otros,2026-02-02 18:56:01.780,15
